"","user","negative","positive","sentiment","lon","lat"
"2472","IdeaWhiteboard7",0,2,2,NA,NA
"2473","ididwy",1,0,-1,114.109497,22.396428
"2474","iDolodotCom",1,0,-1,NA,NA
"2475","idreamaboutfood",0,2,2,NA,NA
"2476","Ieedawonie",0,2,2,NA,NA
"2477","Ieetaemined",1,0,-1,NA,NA
"2478","Ielevli",1,0,-1,NA,NA
"2479","ienriquez",1,0,-1,NA,NA
"2480","ihxtape",0,1,1,NA,NA
"2481","ihyer",0,1,1,NA,NA
"2482","iitzailee",0,1,1,NA,NA
"2483","ijustwant2read",1,1,0,NA,NA
"2484","IKMessy",2,0,-2,138.252924,36.204824
"2485","ileanagacyk",0,1,1,NA,NA
"2486","iletaitunefois",1,1,0,NA,NA
"2487","ilikekumquats",0,1,1,NA,NA
"2488","iliketoeatalot",0,1,1,-116.278007,34.210934
"2489","Iliyxna",1,0,-1,NA,NA
"2490","iljc_11",0,1,1,NA,NA
"2491","iljc15",0,1,1,NA,NA
"2492","iljc18",0,1,1,NA,NA
"2493","ILoveRaygun",1,0,-1,NA,NA
"2494","ilsenu",0,1,1,NA,NA
"2495","ImAlexUlysses",1,0,-1,-118.2436849,34.0522342
"2496","ImaPeterFile",1,0,-1,NA,NA
"2497","imarichella",1,0,-1,16.2522143,39.5644105
"2498","imatypeoneson",0,1,1,NA,NA
"2499","ImeldaTello1",1,0,-1,NA,NA
"2500","IMLBOT",2,0,-2,77.1181172,9.7528821
"2501","immacornflakes",1,1,0,-88.7878678,43.7844397
"2502","imnanalis",0,1,1,NA,NA
"2503","ImNotPauAR7",0,1,1,-92.1053864,37.8287218
"2504","Imperialgrrl",0,1,1,-104.990251,39.7392358
"2505","ImPRICELESS__",2,0,-2,-122.3348271,47.6123698
"2506","imsamegirl",0,4,4,-87.5049805,30.3407558
"2507","imsophieeee",1,0,-1,NA,NA
"2508","in_toone",0,1,1,-71.4128343,41.8239891
"2509","inablinkblog",1,1,0,NA,NA
"2510","inachu",2,0,-2,NA,NA
"2511","InarysTheHusky",0,4,4,NA,NA
"2512","IncludeJimmy",0,2,2,-96.7969879,32.7766642
"2513","Incubus_Lord",1,4,3,-79.0192997,35.7595731
"2514","indbtly_kendra",0,2,2,-81.5157535,27.6648274
"2515","indigoace40",0,1,1,NA,NA
"2516","InellFaire",0,1,1,NA,NA
"2517","InfoNote9",0,1,1,NA,NA
"2518","InjusticeVixen",1,0,-1,-118.6944249,36.6028941
"2519","Ink_Lich",1,0,-1,-117.6126004,33.4273521
"2520","InkaYlisarkki",1,3,2,NA,NA
"2521","InnuendoStudios",1,0,-1,NA,NA
"2522","inoah_guy17",1,0,-1,-95.712891,37.09024
"2523","InqstWrdsmth",1,0,-1,-89.3985283,40.6331249
"2524","InsideDisney407",0,1,1,-83.9207392,35.9606384
"2525","Insidify",0,1,1,-3.435973,55.378051
"2526","instaread_bio",0,1,1,-122.4194155,37.7749295
"2527","interstelleri",0,2,2,-120.4558567,46.60281
"2528","IntoWhiteness",2,0,-2,NA,NA
"2529","inventiveisa",1,0,-1,NA,NA
"2530","investershobby",1,0,-1,-1.1743197,52.3555177
"2531","iOBEY_HER",0,2,2,NA,NA
"2532","Ionelycrybaby",0,1,1,-75.1623841,39.9490387
"2533","ionpluss",0,1,1,NA,NA
"2534","ioTSC",0,2,2,-123.1207375,49.2827291
"2535","Iovegang",1,0,-1,NA,NA
"2536","ipersmiso",0,1,1,127.9784585,37.6639976
"2537","IQShowbiz",1,0,-1,NA,NA
"2538","iraisr2102",0,1,1,-110.926479,32.2217429
"2539","ireneista",1,0,-1,NA,NA
"2540","Iris_briz",0,1,1,NA,NA
"2541","irisdreaming113",0,1,1,NA,NA
"2542","irmgardgraf1871",0,1,1,NA,NA
"2543","Isaaccmklass",1,3,2,-1.880769,50.719164
"2544","IsaacPole",1,1,0,NA,NA
"2545","isabelasignal",1,0,-1,NA,NA
